Month,Sales
Jan-05,553
Feb-05,600
Mar-05,862
Apr-05,959
May-05,1042
Jun-05,984
Jul-05,868
Aug-05,763
Sep-05,932
Oct-05,768
Nov-05,711
Dec-05,665
