Month,Sales
Jan-05,1390
Feb-05,1400
Mar-05,2000
Apr-05,1250
May-05,1220
Jun-05,1370
Jul-05,1290
Aug-05,1400
Sep-05,1310
Oct-05,1140
Nov-05,1190
Dec-05,1370
