Month,Sales
Jan-05,965
Feb-05,962
Mar-05,986
Apr-05,1023
May-05,1256
Jun-05,1325
Jul-05,1263
Aug-05,1244
Sep-05,1199
Oct-05,1123
Nov-05,1153
Dec-05,1111
