Month,Sales
Jan-05,600
Feb-05,3000
Mar-05,1000
Apr-05,600
May-05,1200
Jun-05,1500
Jul-05,1100
Aug-05,1200
Sep-05,1150
Oct-05,950
Nov-05,1250
Dec-05,750
