Month,Sales
Jan-05,153
Feb-05,144
Mar-05,122
Apr-05,69
May-05,145
Jun-05,153
Jul-05,125
Aug-05,142
Sep-05,109
Oct-05,97
Nov-05,80
Dec-05,44
