Month,Sales
Jan-05,555
Feb-05,565
Mar-05,600
Apr-05,620
May-05,596
Jun-05,587
Jul-05,563
Aug-05,522
Sep-05,633
Oct-05,655
Nov-05,667
Dec-05,689
