Month,Sales
Jan-05,423
Feb-05,525
Mar-05,695
Apr-05,477
May-05,353
Jun-05,421
Jul-05,225
Aug-05,355
Sep-05,362
Oct-05,311
Nov-05,200
Dec-05,265
