Month,Sales
Jan-05,99
Feb-05,125
Mar-05,105
Apr-05,96
May-05,155
Jun-05,100
Jul-05,125
Aug-05,104
Sep-05,101
Oct-05,93
Nov-05,65
Dec-05,44
