Month,Sales
Jan-05,853
Feb-05,888
Mar-05,826
Apr-05,832
May-05,812
Jun-05,789
Jul-05,756
Aug-05,744
Sep-05,836
Oct-05,896
Nov-05,909
Dec-05,959
